PROMPT_025 | tokens=14860 | budget=12536 | ratio=118.5% | beam_score=-196.712725721426
PROMPT_037 | tokens=5120 | budget=2788 | ratio=183.6% | beam_score=-179.21292785475055
PROMPT_041 | tokens=5060 | budget=2667 | ratio=189.7% | beam_score=-130.52303098303994
PROMPT_073 | tokens=15360 | budget=14006 | ratio=109.7% | beam_score=-168.42065618411684
PROMPT_085 | tokens=15360 | budget=14614 | ratio=105.1% | beam_score=-168.36801781354268
PROMPT_086 | tokens=15360 | budget=15360 | ratio=100.0% | beam_score=-158.9667409026081
PROMPT_108 | tokens=25600 | budget=25112 | ratio=101.9% | beam_score=-139.0511884382962
PROMPT_112 | tokens=25600 | budget=23583 | ratio=108.6% | beam_score=-147.28041647241278
PROMPT_115 | tokens=23040 | budget=21952 | ratio=105.0% | beam_score=-171.7966815733745
PROMPT_057 | tokens=247885 | budget=489000 | ratio=50.7% | beam_score=-193.53371506297174
PROMPT_060 | tokens=43520 | budget=343320 | ratio=12.7% | beam_score=-192.90102715326788
PROMPT_080 | tokens=215805 | budget=363219 | ratio=59.4% | beam_score=-152.86955679458987
PROMPT_082 | tokens=2560 | budget=7518 | ratio=34.1% | beam_score=-89.16455074633768
PROMPT_084 | tokens=2560 | budget=15360 | ratio=16.7% | beam_score=-136.34774042436584
PROMPT_087 | tokens=2560 | budget=4027 | ratio=63.6% | beam_score=-152.7300052444346
PROMPT_089 | tokens=2560 | budget=4907 | ratio=52.2% | beam_score=-178.6996915506193
PROMPT_096 | tokens=2560 | budget=229564 | ratio=1.1% | beam_score=-209.26508265718684
PROMPT_126 | tokens=54000 | budget=402259 | ratio=13.4% | beam_score=-164.79966629329763
PROMPT_128 | tokens=5120 | budget=408614 | ratio=1.3% | beam_score=-135.62914689050783
