PROMPT_016 | tokens=2560 | budget=4681 | ratio=54.7% | beam_score=-46.01173761367834
PROMPT_024 | tokens=2560 | budget=3727 | ratio=68.7% | beam_score=-126.91948257986752
PROMPT_037 | tokens=2560 | budget=3483 | ratio=73.5% | beam_score=-66.14244925650661
PROMPT_042 | tokens=2560 | budget=3123 | ratio=82.0% | beam_score=-93.62341606988116
PROMPT_060 | tokens=5165 | budget=3689 | ratio=140.0% | beam_score=-85.53860295028213
PROMPT_082 | tokens=2560 | budget=5120 | ratio=50.0% | beam_score=-59.062303409176295
PROMPT_084 | tokens=5120 | budget=5011 | ratio=102.2% | beam_score=-46.39944252221962
PROMPT_086 | tokens=2560 | budget=4620 | ratio=55.4% | beam_score=-73.84955602753237
PROMPT_089 | tokens=2560 | budget=4734 | ratio=54.1% | beam_score=-101.46639891988809
PROMPT_108 | tokens=2560 | budget=4678 | ratio=54.7% | beam_score=-119.41078398436463
PROMPT_127 | tokens=2530 | budget=1646 | ratio=153.7% | beam_score=-103.53681864846519
PROMPT_128 | tokens=2560 | budget=1272 | ratio=201.3% | beam_score=-57.703934894800874
