PROMPT_037 | tokens=25600 | budget=2019 | ratio=1268.0%
PROMPT_041 | tokens=19000 | budget=2299 | ratio=826.4%
PROMPT_050 | tokens=51200 | budget=1487216 | ratio=3.4%
PROMPT_055 | tokens=102400 | budget=137906 | ratio=74.3%
PROMPT_057 | tokens=25600 | budget=1080152 | ratio=2.4%
PROMPT_060 | tokens=25600 | budget=367015 | ratio=7.0%
PROMPT_073 | tokens=25600 | budget=1384698 | ratio=1.8%
PROMPT_082 | tokens=25600 | budget=3742 | ratio=684.1%
PROMPT_084 | tokens=25600 | budget=4212 | ratio=607.8%
PROMPT_085 | tokens=25600 | budget=89287 | ratio=28.7%
PROMPT_086 | tokens=25600 | budget=2644 | ratio=968.2%
PROMPT_089 | tokens=25600 | budget=1451 | ratio=1764.3%
PROMPT_108 | tokens=23950 | budget=1674 | ratio=1430.7%
PROMPT_109 | tokens=22600 | budget=1033806 | ratio=2.2%
PROMPT_115 | tokens=25600 | budget=485887 | ratio=5.3%
PROMPT_123 | tokens=25600 | budget=2382 | ratio=1074.7%
PROMPT_126 | tokens=25600 | budget=3082 | ratio=830.6%
PROMPT_128 | tokens=22150 | budget=1101 | ratio=2011.8%
