PROMPT_008 | tokens=5120 | budget=15360 | ratio=33.3% | beam_score=-219.7417662074511
PROMPT_011 | tokens=7680 | budget=710144 | ratio=1.1% | beam_score=-205.5324439219137
PROMPT_014 | tokens=10240 | budget=275456 | ratio=3.7% | beam_score=-189.37621981381872
PROMPT_015 | tokens=51200 | budget=560809 | ratio=9.1% | beam_score=-221.95752933858287
PROMPT_025 | tokens=268800 | budget=444928 | ratio=60.4% | beam_score=-248.58983047077533
PROMPT_026 | tokens=87040 | budget=582704 | ratio=14.9% | beam_score=-155.66452868830083
PROMPT_034 | tokens=5120 | budget=176128 | ratio=2.9% | beam_score=-178.6794762781223
PROMPT_037 | tokens=2560 | budget=355840 | ratio=0.7% | beam_score=-224.5330702587167
PROMPT_041 | tokens=2560 | budget=15360 | ratio=16.7% | beam_score=-214.4899886265604
PROMPT_042 | tokens=2560 | budget=433920 | ratio=0.6% | beam_score=-277.9332849114579
PROMPT_049 | tokens=2560 | budget=15360 | ratio=16.7% | beam_score=-149.02646610423142
PROMPT_050 | tokens=35840 | budget=546304 | ratio=6.6% | beam_score=-190.8295849378212
PROMPT_052 | tokens=48640 | budget=140800 | ratio=34.5% | beam_score=-185.78771224287738
PROMPT_053 | tokens=2560 | budget=15360 | ratio=16.7% | beam_score=-231.2848150276722
PROMPT_055 | tokens=12800 | budget=15360 | ratio=83.3% | beam_score=-251.25757160276012
PROMPT_057 | tokens=435200 | budget=571967 | ratio=76.1% | beam_score=-258.81909691656244
PROMPT_073 | tokens=130560 | budget=250000 | ratio=52.2% | beam_score=-261.74897584214426
PROMPT_076 | tokens=40960 | budget=250000 | ratio=16.4% | beam_score=-218.79847094096192
PROMPT_079 | tokens=38400 | budget=250000 | ratio=15.4% | beam_score=-200.39446203021544
PROMPT_082 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-122.35090145662966
PROMPT_084 | tokens=7680 | budget=250000 | ratio=3.1% | beam_score=-108.00339176002399
PROMPT_085 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-165.23439441642637
PROMPT_086 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-188.678651472361
PROMPT_087 | tokens=48640 | budget=250000 | ratio=19.5% | beam_score=-261.2412489308452
PROMPT_089 | tokens=5120 | budget=250000 | ratio=2.0% | beam_score=-211.99363871097736
PROMPT_094 | tokens=17920 | budget=250000 | ratio=7.2% | beam_score=-277.3264771531035
PROMPT_096 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-215.49584202923864
PROMPT_097 | tokens=17920 | budget=250000 | ratio=7.2% | beam_score=-210.52042020667852
PROMPT_099 | tokens=87040 | budget=250000 | ratio=34.8% | beam_score=-199.04185288478484
PROMPT_101 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-253.72229019778965
PROMPT_102 | tokens=197120 | budget=250000 | ratio=78.8% | beam_score=-240.3192678190978
PROMPT_104 | tokens=232960 | budget=250000 | ratio=93.2% | beam_score=-210.71780287669293
PROMPT_105 | tokens=20480 | budget=250000 | ratio=8.2% | beam_score=-198.02705156491314
PROMPT_106 | tokens=76800 | budget=250000 | ratio=30.7% | beam_score=-223.3259854489643
PROMPT_108 | tokens=5120 | budget=250000 | ratio=2.0% | beam_score=-257.0274143735932
PROMPT_109 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-315.5663378552734
PROMPT_112 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-220.70430837619153
PROMPT_115 | tokens=97280 | budget=250000 | ratio=38.9% | beam_score=-191.14847082049977
PROMPT_122 | tokens=7680 | budget=250000 | ratio=3.1% | beam_score=-200.33187121607966
PROMPT_123 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-196.3863699204935
PROMPT_127 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-301.6962154797655
PROMPT_128 | tokens=2560 | budget=250000 | ratio=1.0% | beam_score=-182.32096086769488
