PROMPT_011 | tokens=2880 | budget=4952 | ratio=58.2% | beam_score=-171.62033495651553
PROMPT_013 | tokens=2560 | budget=2830 | ratio=90.5% | beam_score=-139.7083356160387
PROMPT_014 | tokens=2655 | budget=4794 | ratio=55.4% | beam_score=-130.1803438796614
PROMPT_024 | tokens=1820 | budget=2288 | ratio=79.5% | beam_score=-140.59166057403345
PROMPT_025 | tokens=2405 | budget=3493 | ratio=68.9% | beam_score=-198.96809500877967
PROMPT_034 | tokens=13005 | budget=45036 | ratio=28.9% | beam_score=-153.33043689150816
PROMPT_037 | tokens=2560 | budget=9047 | ratio=28.3% | beam_score=-165.87291076909344
PROMPT_042 | tokens=2560 | budget=7517 | ratio=34.1% | beam_score=-174.85702530425192
PROMPT_057 | tokens=26220 | budget=145589 | ratio=18.0% | beam_score=-254.005326672131
PROMPT_060 | tokens=5120 | budget=8786 | ratio=58.3% | beam_score=-182.0135227702508
PROMPT_067 | tokens=128100 | budget=170471 | ratio=75.1% | beam_score=-221.7119233849524
PROMPT_073 | tokens=2560 | budget=9403 | ratio=27.2% | beam_score=-96.87452481064332
PROMPT_082 | tokens=2560 | budget=9914 | ratio=25.8% | beam_score=-144.9975247423114
PROMPT_084 | tokens=2560 | budget=10240 | ratio=25.0% | beam_score=-106.59841888965741
PROMPT_086 | tokens=2560 | budget=10240 | ratio=25.0% | beam_score=-82.30332883561573
PROMPT_111 | tokens=45625 | budget=129164 | ratio=35.3% | beam_score=-182.48026586304474
PROMPT_127 | tokens=2560 | budget=1577 | ratio=162.3% | beam_score=-200.94262236182337
PROMPT_128 | tokens=2560 | budget=1560 | ratio=164.1% | beam_score=-212.85057913435526
