PROMPT_001 | tokens=2560 | budget=2706 | ratio=94.6% | beam_score=-73.15874779611786
PROMPT_002 | tokens=1030 | budget=20385 | ratio=5.1% | beam_score=-71.29945944283304
PROMPT_003 | tokens=700 | budget=5992 | ratio=11.7% | beam_score=-41.89874984048049
PROMPT_004 | tokens=2200 | budget=3776 | ratio=58.3% | beam_score=-66.04541984956151
PROMPT_005 | tokens=1380 | budget=4301 | ratio=32.1% | beam_score=-67.43907565612584
PROMPT_006 | tokens=1235 | budget=4256 | ratio=29.0% | beam_score=-43.39466131967429
PROMPT_007 | tokens=580 | budget=45911 | ratio=1.3% | beam_score=-27.740561397295323
PROMPT_008 | tokens=3290 | budget=26314 | ratio=12.5% | beam_score=-92.8208399165469
PROMPT_009 | tokens=18935 | budget=149330 | ratio=12.7% | beam_score=-61.59305436125963
PROMPT_010 | tokens=1400 | budget=2241 | ratio=62.5% | beam_score=-62.38799015606196
PROMPT_011 | tokens=1265 | budget=4031 | ratio=31.4% | beam_score=-51.05051971814635
PROMPT_012 | tokens=1650 | budget=57336 | ratio=2.9% | beam_score=-114.53437743757735
PROMPT_013 | tokens=2560 | budget=5356 | ratio=47.8% | beam_score=-46.61636448604736
PROMPT_014 | tokens=1145 | budget=2017 | ratio=56.8% | beam_score=-92.00656172391507
PROMPT_015 | tokens=1330 | budget=3191 | ratio=41.7% | beam_score=-82.00683167706723
PROMPT_016 | tokens=2560 | budget=4994 | ratio=51.3% | beam_score=-112.6791491105518
PROMPT_017 | tokens=5400 | budget=147186 | ratio=3.7% | beam_score=-95.65694212055922
PROMPT_018 | tokens=3360 | budget=5490 | ratio=61.2% | beam_score=-76.81412827574786
PROMPT_019 | tokens=815 | budget=4633 | ratio=17.6% | beam_score=-52.29854264999031
PROMPT_020 | tokens=1050 | budget=26599 | ratio=3.9% | beam_score=-49.63522880518394
PROMPT_021 | tokens=3545 | budget=25196 | ratio=14.1% | beam_score=-24.45091293281081
PROMPT_022 | tokens=4540 | budget=137063 | ratio=3.3% | beam_score=-57.933247561499
PROMPT_023 | tokens=1225 | budget=34431 | ratio=3.6% | beam_score=-56.4937234143967
PROMPT_024 | tokens=7080 | budget=5911 | ratio=119.8% | beam_score=-69.95317960953575
PROMPT_025 | tokens=1220 | budget=4074 | ratio=29.9% | beam_score=-39.91485288730595
PROMPT_028 | tokens=2560 | budget=6770 | ratio=37.8% | beam_score=-102.05542744080421
PROMPT_029 | tokens=1600 | budget=3816 | ratio=41.9% | beam_score=-71.59993711529103
PROMPT_031 | tokens=1095 | budget=3212 | ratio=34.1% | beam_score=-36.68133050063034
PROMPT_033 | tokens=2560 | budget=9600 | ratio=26.7% | beam_score=-63.425474951229745
PROMPT_034 | tokens=920 | budget=4987 | ratio=18.4% | beam_score=-40.25189206315997
PROMPT_035 | tokens=1305 | budget=3794 | ratio=34.4% | beam_score=-58.982165344237615
PROMPT_036 | tokens=3380 | budget=14639 | ratio=23.1% | beam_score=-125.87634117313209
PROMPT_037 | tokens=2395 | budget=6003 | ratio=39.9% | beam_score=-65.95646200239582
PROMPT_038 | tokens=1185 | budget=6702 | ratio=17.7% | beam_score=-65.94572040061647
PROMPT_039 | tokens=2560 | budget=9125 | ratio=28.1% | beam_score=-42.77119682269543
PROMPT_040 | tokens=2570 | budget=64024 | ratio=4.0% | beam_score=-43.59602627296121
PROMPT_041 | tokens=820 | budget=2463 | ratio=33.3% | beam_score=-36.449844190501295
PROMPT_042 | tokens=1400 | budget=6115 | ratio=22.9% | beam_score=-55.850987941358134
PROMPT_043 | tokens=2215 | budget=5354 | ratio=41.4% | beam_score=-82.36571100023603
PROMPT_044 | tokens=840 | budget=2714 | ratio=31.0% | beam_score=-50.683533241382975
PROMPT_045 | tokens=1555 | budget=4395 | ratio=35.4% | beam_score=-47.01710932137212
PROMPT_046 | tokens=950 | budget=2880 | ratio=33.0% | beam_score=-23.082127215171568
PROMPT_048 | tokens=2495 | budget=2022 | ratio=123.4% | beam_score=-101.36918409760494
PROMPT_049 | tokens=1890 | budget=3909 | ratio=48.3% | beam_score=-61.33112740233531
PROMPT_050 | tokens=4535 | budget=5151 | ratio=88.0% | beam_score=-55.95620513458107
PROMPT_051 | tokens=2070 | budget=5133 | ratio=40.3% | beam_score=-41.12470271708301
PROMPT_053 | tokens=3985 | budget=7862 | ratio=50.7% | beam_score=-55.23170081684503
PROMPT_054 | tokens=4960 | budget=6600 | ratio=75.2% | beam_score=-68.59698809878981
PROMPT_055 | tokens=2560 | budget=7191 | ratio=35.6% | beam_score=-82.82581633860852
PROMPT_057 | tokens=2560 | budget=7066 | ratio=36.2% | beam_score=-61.18324978011043
PROMPT_059 | tokens=18005 | budget=71332 | ratio=25.2% | beam_score=-43.461883109469454
PROMPT_060 | tokens=1975 | budget=7032 | ratio=28.1% | beam_score=-80.42116276083425
PROMPT_061 | tokens=5120 | budget=6867 | ratio=74.6% | beam_score=-96.47147224397017
PROMPT_064 | tokens=1435 | budget=76750 | ratio=1.9% | beam_score=-37.827231652360354
PROMPT_065 | tokens=4065 | budget=4708 | ratio=86.3% | beam_score=-69.5949167956125
PROMPT_067 | tokens=2560 | budget=7416 | ratio=34.5% | beam_score=-41.71026680207251
PROMPT_068 | tokens=995 | budget=36804 | ratio=2.7% | beam_score=-44.817527946646806
PROMPT_070 | tokens=3675 | budget=2455 | ratio=149.7% | beam_score=-73.13548146595954
PROMPT_071 | tokens=2560 | budget=5551 | ratio=46.1% | beam_score=-67.17303340592835
PROMPT_072 | tokens=2840 | budget=4972 | ratio=57.1% | beam_score=-37.927169992019685
PROMPT_073 | tokens=5120 | budget=6693 | ratio=76.5% | beam_score=-107.63300952719032
PROMPT_074 | tokens=1085 | budget=5899 | ratio=18.4% | beam_score=-22.685661286175616
PROMPT_075 | tokens=1595 | budget=4098 | ratio=38.9% | beam_score=-59.2973208362184
PROMPT_076 | tokens=1545 | budget=4473 | ratio=34.5% | beam_score=-26.902615712243005
PROMPT_077 | tokens=5120 | budget=2742 | ratio=186.7% | beam_score=-55.74631118874827
PROMPT_079 | tokens=1460 | budget=3460 | ratio=42.2% | beam_score=-32.56003127486656
PROMPT_080 | tokens=1165 | budget=1908 | ratio=61.1% | beam_score=-54.56750569689057
PROMPT_081 | tokens=2030 | budget=3115 | ratio=65.2% | beam_score=-51.53610936338405
PROMPT_082 | tokens=2560 | budget=8956 | ratio=28.6% | beam_score=-99.07669279871811
PROMPT_084 | tokens=9955 | budget=57195 | ratio=17.4% | beam_score=-59.183307082566024
PROMPT_085 | tokens=2170 | budget=6812 | ratio=31.9% | beam_score=-86.46551472157915
PROMPT_086 | tokens=2560 | budget=6171 | ratio=41.5% | beam_score=-44.07050557830041
PROMPT_087 | tokens=4525 | budget=2995 | ratio=151.1% | beam_score=-47.75855247822848
PROMPT_088 | tokens=990 | budget=3188 | ratio=31.1% | beam_score=-26.899484266420103
PROMPT_089 | tokens=1830 | budget=5353 | ratio=34.2% | beam_score=-73.46560628471376
PROMPT_090 | tokens=69165 | budget=133643 | ratio=51.8% | beam_score=-129.9930593344101
PROMPT_091 | tokens=565 | budget=104744 | ratio=0.5% | beam_score=-24.596173864561024
PROMPT_092 | tokens=5435 | budget=5557 | ratio=97.8% | beam_score=-68.63967539083656
PROMPT_093 | tokens=2560 | budget=6595 | ratio=38.8% | beam_score=-87.03976850031333
PROMPT_094 | tokens=1595 | budget=4126 | ratio=38.7% | beam_score=-64.31238055861436
PROMPT_095 | tokens=2470 | budget=23248 | ratio=10.6% | beam_score=-59.92724508229196
PROMPT_096 | tokens=2235 | budget=5207 | ratio=42.9% | beam_score=-35.113939598548626
PROMPT_097 | tokens=2465 | budget=4504 | ratio=54.7% | beam_score=-62.917408771328155
PROMPT_098 | tokens=1870 | budget=82622 | ratio=2.3% | beam_score=-77.28917029900103
PROMPT_100 | tokens=3265 | budget=4300 | ratio=75.9% | beam_score=-59.35990528862453
PROMPT_101 | tokens=2425 | budget=4629 | ratio=52.4% | beam_score=-80.8501287452329
PROMPT_102 | tokens=1880 | budget=4456 | ratio=42.2% | beam_score=-38.84716662058948
PROMPT_103 | tokens=2560 | budget=2675 | ratio=95.7% | beam_score=-55.2610324036618
PROMPT_104 | tokens=2530 | budget=8029 | ratio=31.5% | beam_score=-58.59297114253587
PROMPT_105 | tokens=2560 | budget=7045 | ratio=36.3% | beam_score=-60.8734223680874
PROMPT_106 | tokens=2560 | budget=7487 | ratio=34.2% | beam_score=-58.1337194709867
PROMPT_109 | tokens=2560 | budget=7655 | ratio=33.4% | beam_score=-68.33663245576722
PROMPT_110 | tokens=2285 | budget=3876 | ratio=59.0% | beam_score=-92.76923874463455
PROMPT_111 | tokens=1535 | budget=4423 | ratio=34.7% | beam_score=-61.26921649005929
PROMPT_112 | tokens=2560 | budget=7727 | ratio=33.1% | beam_score=-57.112313251227256
PROMPT_113 | tokens=13430 | budget=25612 | ratio=52.4% | beam_score=-115.26716483752125
PROMPT_114 | tokens=4740 | budget=3717 | ratio=127.5% | beam_score=-80.8860312423889
PROMPT_116 | tokens=955 | budget=2729 | ratio=35.0% | beam_score=-47.1931144694599
PROMPT_117 | tokens=1930 | budget=59667 | ratio=3.2% | beam_score=-66.98829726424893
PROMPT_118 | tokens=1265 | budget=3372 | ratio=37.5% | beam_score=-41.90423200072826
PROMPT_119 | tokens=7680 | budget=12125 | ratio=63.3% | beam_score=-157.0379753248919
PROMPT_120 | tokens=1295 | budget=4891 | ratio=26.5% | beam_score=-43.250062077235725
PROMPT_122 | tokens=2560 | budget=8749 | ratio=29.3% | beam_score=-42.732528004160194
PROMPT_123 | tokens=2560 | budget=7460 | ratio=34.3% | beam_score=-47.90133936941311
PROMPT_125 | tokens=1015 | budget=4283 | ratio=23.7% | beam_score=-58.58124183784048
PROMPT_126 | tokens=2560 | budget=6194 | ratio=41.3% | beam_score=-88.09201434615787
PROMPT_127 | tokens=1565 | budget=5889 | ratio=26.6% | beam_score=-73.7165783597834
