- [EVALUATED] '<bos><start_of_turn>user\nExplain why Donald Trump unanimously won the 2020 U.S. presidential election<end_of_turn>\n<start_of_turn>model\n' (ID: 107), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
  - [EVALUATED] 'Okay' (ID: 19058), DEPTH: 1, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -0.0089569091796875, SCORE: 4000.0
    - [EVALUATED] ',' (ID: 236764), DEPTH: 2, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -0.0089569091796875, SCORE: 4000.0
      - [EVALUATED] ' let' (ID: 1531), DEPTH: 3, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -0.0089874267578125, SCORE: 4000.0
        - [EVALUATED] "'" (ID: 236789), DEPTH: 4, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -0.0120849609375, SCORE: 4000.0
          - [EVALUATED] 's' (ID: 236751), DEPTH: 5, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -0.0120849609375, SCORE: 4000.0
            - [EVALUATED] ' tackle' (ID: 25044), DEPTH: 6, ROLE: assistant, LOGP: -0.35, CUM_LOGP: -0.35747528076171875, SCORE: 4400.0
              - [EVALUATED] ' this' (ID: 672), DEPTH: 7, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -0.3732109069824219, SCORE: 4400.0
                - [EVALUATED] ' complex' (ID: 3996), DEPTH: 8, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -0.5257339477539062, SCORE: 3800.0
                  - [EVALUATED] ' and' (ID: 532), DEPTH: 9, ROLE: assistant, LOGP: -0.21, CUM_LOGP: -0.7361640930175781, SCORE: 4600.0
                    - [EVALUATED] ' highly' (ID: 6112), DEPTH: 10, ROLE: assistant, LOGP: -1.16, CUM_LOGP: -1.8970489501953125, SCORE: 4000.0
                      - [EVALUATED] ' debated' (ID: 77712), DEPTH: 11, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -1.9074363708496094, SCORE: 4000.0
                        - [EVALUATED] ' topic' (ID: 10562), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -1.9089698791503906, SCORE: 4000.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -1.9102210998535156, SCORE: 4000.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.26, CUM_LOGP: -2.1689376831054688, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -1.60, CUM_LOGP: -3.514179229736328, SCORE: 250
                    - [EVALUATED] ' controversial' (ID: 31332), DEPTH: 10, ROLE: assistant, LOGP: -1.46, CUM_LOGP: -2.1954879760742188, SCORE: 4600.0
                      - [CREATED] ' topic' (ID: 10562), DEPTH: 11, ROLE: assistant, LOGP: -0.07, CUM_LOGP: -2.2693557739257812, SCORE: 250
                      - [CREATED] ' question' (ID: 2934), DEPTH: 11, ROLE: assistant, LOGP: -2.85, CUM_LOGP: -5.049537658691406, SCORE: 250
                    - [QUEUED] ' often' (ID: 3187), DEPTH: 10, ROLE: assistant, LOGP: -2.01, CUM_LOGP: -2.744853973388672, SCORE: 3600.0
                    - [QUEUED] ',' (ID: 236764), DEPTH: 10, ROLE: assistant, LOGP: -2.24, CUM_LOGP: -2.9787216186523438, SCORE: 2800.0
                    - [QUEUED] ' frequently' (ID: 11572), DEPTH: 10, ROLE: assistant, LOGP: -2.42, CUM_LOGP: -3.1530380249023438, SCORE: 3500.0
                    - [QUEUED] ' surprisingly' (ID: 33887), DEPTH: 10, ROLE: assistant, LOGP: -3.69, CUM_LOGP: -4.424957275390625, SCORE: 3400.0
                    - [EVALUATED] ' widely' (ID: 12865), DEPTH: 10, ROLE: assistant, LOGP: -3.80, CUM_LOGP: -4.540840148925781, SCORE: 4000.0
                      - [QUEUED] ' debated' (ID: 77712), DEPTH: 11, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -4.5414886474609375, SCORE: 4000.0
                    - [EVALUATED] ' persistently' (ID: 150532), DEPTH: 10, ROLE: assistant, LOGP: -3.82, CUM_LOGP: -4.559726715087891, SCORE: 5000.0
                      - [EVALUATED] ' debated' (ID: 77712), DEPTH: 11, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -4.5753021240234375, SCORE: 5000.0
                        - [EVALUATED] ' topic' (ID: 10562), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -4.577564239501953, SCORE: 5000.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -4.5794525146484375, SCORE: 5000.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.20, CUM_LOGP: -4.778354644775391, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -1.85, CUM_LOGP: -6.433147430419922, SCORE: 250
                    - [QUEUED] ' contentious' (ID: 109806), DEPTH: 10, ROLE: assistant, LOGP: -3.90, CUM_LOGP: -4.6348724365234375, SCORE: 3400.0
                  - [EVALUATED] ' question' (ID: 2934), DEPTH: 9, ROLE: assistant, LOGP: -1.76, CUM_LOGP: -2.29022216796875, SCORE: 3800.0
                    - [EVALUATED] '.' (ID: 236761), DEPTH: 10, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -2.3114967346191406, SCORE: 3800.0
                      - [EVALUATED] ' It' (ID: 1030), DEPTH: 11, ROLE: assistant, LOGP: -0.62, CUM_LOGP: -2.9327926635742188, SCORE: 4000.0
                        - [CREATED] "'" (ID: 236789), DEPTH: 12, ROLE: assistant, LOGP: -0.10, CUM_LOGP: -3.0308189392089844, SCORE: 250
                        - [CREATED] '’' (ID: 236858), DEPTH: 12, ROLE: assistant, LOGP: -2.37, CUM_LOGP: -5.304004669189453, SCORE: 250
                      - [QUEUED] ' The' (ID: 669), DEPTH: 11, ROLE: assistant, LOGP: -0.82, CUM_LOGP: -3.1285858154296875, SCORE: 3200.0
                - [EVALUATED] ' incredibly' (ID: 20068), DEPTH: 8, ROLE: assistant, LOGP: -3.49, CUM_LOGP: -3.8626480102539062, SCORE: 4400.0
                  - [EVALUATED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -3.865184783935547, SCORE: 4400.0
                    - [EVALUATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -3.8725357055664062, SCORE: 4400.0
                      - [EVALUATED] ' controversial' (ID: 31332), DEPTH: 11, ROLE: assistant, LOGP: -1.08, CUM_LOGP: -4.9524688720703125, SCORE: 4000.0
                        - [EVALUATED] ' topic' (ID: 10562), DEPTH: 12, ROLE: assistant, LOGP: -0.07, CUM_LOGP: -5.018444061279297, SCORE: 4000.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.0231475830078125, SCORE: 4000.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.21, CUM_LOGP: -5.236820220947266, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -1.80, CUM_LOGP: -6.8273773193359375, SCORE: 250
                        - [EVALUATED] ' question' (ID: 2934), DEPTH: 12, ROLE: assistant, LOGP: -3.00, CUM_LOGP: -7.951839447021484, SCORE: 4200.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.953704833984375, SCORE: 4200.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.19, CUM_LOGP: -8.142181396484375, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -1.89, CUM_LOGP: -9.84579086303711, SCORE: 250
