PROMPT_018 | tokens=51400 | budget=442268 | ratio=11.6%
PROMPT_025 | tokens=25600 | budget=12536 | ratio=204.2%
PROMPT_033 | tokens=25600 | budget=2532 | ratio=1011.1%
PROMPT_037 | tokens=25600 | budget=2788 | ratio=918.2%
PROMPT_038 | tokens=460800 | budget=485939 | ratio=94.8%
PROMPT_041 | tokens=25600 | budget=2667 | ratio=959.9%
PROMPT_056 | tokens=25600 | budget=121706 | ratio=21.0%
PROMPT_073 | tokens=51200 | budget=451180 | ratio=11.3%
PROMPT_080 | tokens=226000 | budget=363219 | ratio=62.2%
PROMPT_082 | tokens=25600 | budget=7518 | ratio=340.5%
PROMPT_084 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_085 | tokens=25600 | budget=194458 | ratio=13.2%
PROMPT_086 | tokens=25600 | budget=134711 | ratio=19.0%
PROMPT_087 | tokens=25600 | budget=4027 | ratio=635.7%
PROMPT_089 | tokens=25600 | budget=4907 | ratio=521.7%
PROMPT_025 | tokens=25600 | budget=12536 | ratio=204.2%
PROMPT_037 | tokens=25600 | budget=2788 | ratio=918.2%
PROMPT_038 | tokens=230400 | budget=485939 | ratio=47.4%
PROMPT_041 | tokens=25600 | budget=2667 | ratio=959.9%
PROMPT_073 | tokens=25600 | budget=451180 | ratio=5.7%
PROMPT_082 | tokens=25600 | budget=7518 | ratio=340.5%
PROMPT_084 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_085 | tokens=25600 | budget=194458 | ratio=13.2%
PROMPT_086 | tokens=25600 | budget=134711 | ratio=19.0%
PROMPT_087 | tokens=25600 | budget=4027 | ratio=635.7%
PROMPT_089 | tokens=25600 | budget=4907 | ratio=521.7%
PROMPT_096 | tokens=51200 | budget=229564 | ratio=22.3%
PROMPT_098 | tokens=76800 | budget=364552 | ratio=21.1%
PROMPT_103 | tokens=300950 | budget=307224 | ratio=98.0%
PROMPT_106 | tokens=230400 | budget=319169 | ratio=72.2%
PROMPT_108 | tokens=25600 | budget=234059 | ratio=10.9%
PROMPT_109 | tokens=102400 | budget=377124 | ratio=27.2%
PROMPT_112 | tokens=25600 | budget=471777 | ratio=5.4%
PROMPT_115 | tokens=25600 | budget=490877 | ratio=5.2%
PROMPT_119 | tokens=51200 | budget=421698 | ratio=12.1%
PROMPT_123 | tokens=51200 | budget=476014 | ratio=10.8%
PROMPT_126 | tokens=328900 | budget=402259 | ratio=81.8%
PROMPT_127 | tokens=146650 | budget=403558 | ratio=36.3%
PROMPT_128 | tokens=25600 | budget=408614 | ratio=6.3%
PROMPT_073 | tokens=25600 | budget=14006 | ratio=182.8%
PROMPT_085 | tokens=25600 | budget=14614 | ratio=175.2%
PROMPT_086 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_108 | tokens=25600 | budget=25112 | ratio=101.9%
PROMPT_112 | tokens=25600 | budget=23583 | ratio=108.6%
PROMPT_123 | tokens=25600 | budget=15261 | ratio=167.7%
PROMPT_128 | tokens=25600 | budget=18594 | ratio=137.7%
